model,question_id,relevant_chunk_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,top1_accuracy,top3_accuracy,top5_accuracy,reciprocal_rank,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
openai,Q001,paper1_P008_C000|paper1_P009_C000,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.5,0.8169059000210837,paper1_P001_C003,paper1_P008_C000,paper1_P001_C000,paper1_P008_C004,paper2_P025_C004
openai,Q002,paper1_P008_C000|paper1_P008_C005,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.1186920000181999,paper1_P008_C000,paper1_P008_C005,paper1_P001_C000,paper1_P003_C001,paper1_P002_C000
openai,Q003,paper1_P001_C002|paper1_P008_C005,0.0,0.3333333333333333,0.4,0.0,0.5,1.0,0,1,1,0.5,0.130178799998248,paper1_P008_C000,paper1_P008_C005,paper1_P002_C000,paper1_P001_C002,paper2_P010_C002
openai,Q004,paper1_P002_C004|paper1_P002_C005,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.5,0.15309810001053847,paper2_P009_C003,paper1_P002_C005,paper1_P008_C004,paper2_P032_C000,paper2_P034_C000
openai,Q005,paper1_P008_C006,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16084090000367723,paper2_P009_C003,paper2_P033_C000,paper2_P037_C000,paper2_P034_C004,paper2_P001_C000
openai,Q006,paper1_P001_C003,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0,1,1,0.5,0.14222060001338832,paper2_P032_C005,paper1_P001_C003,paper2_P009_C003,paper2_P032_C000,paper1_P008_C000
openai,Q007,paper1_P001_C003|paper1_P009_C000,0.0,0.0,0.2,0.0,0.0,0.5,0,0,1,0.25,0.1344766999827698,paper2_P033_C000,paper1_P008_C000,paper2_P033_C003,paper1_P009_C000,paper2_P033_C002
openai,Q008,paper1_P001_C003,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1,1,1,1.0,0.14718259999062866,paper1_P001_C003,paper2_P032_C005,paper1_P008_C000,paper1_P008_C004,paper2_P009_C003
openai,Q009,paper1_P008_C004|paper1_P008_C005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.14348099997732788,paper2_P010_C004,paper2_P038_C001,paper2_P003_C001,paper1_P008_C006,paper2_P011_C000
openai,Q010,paper1_P001_C005|paper1_P002_C004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.14437480000196956,paper2_P009_C003,paper2_P033_C000,paper2_P034_C000,paper2_P034_C004,paper1_P001_C001
openai,Q011,paper2_P001_C001|paper2_P037_C000,0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0,1,1,0.3333333333333333,0.13840479997452348,paper2_P003_C001,paper2_P005_C002,paper2_P037_C000,paper2_P002_C004,paper2_P010_C004
openai,Q012,paper2_P005_C000|paper2_P034_C000|paper2_P036_C004,0.0,0.3333333333333333,0.2,0.0,0.3333333333333333,0.3333333333333333,0,1,1,0.3333333333333333,0.13259980001021177,paper2_P033_C002,paper2_P003_C000,paper2_P034_C000,paper2_P033_C001,paper2_P036_C005
openai,Q013,paper2_P003_C001|paper2_P003_C002,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.14077959998394363,paper2_P003_C002,paper2_P003_C001,paper2_P005_C002,paper2_P037_C000,paper2_P037_C002
openai,Q014,paper2_P003_C003|paper2_P010_C003,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1,1,1,1.0,0.11105149998911656,paper2_P003_C003,paper2_P010_C003,paper2_P003_C002,paper2_P037_C001,paper2_P003_C005
openai,Q015,paper2_P002_C004,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1,1,1,1.0,0.14505449999705888,paper2_P002_C004,paper2_P034_C005,paper2_P003_C005,paper2_P003_C003,paper2_P005_C002
openai,Q016,paper2_P003_C000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0,1,1,0.5,0.16192040001624264,paper2_P042_C001,paper2_P003_C000,paper2_P038_C006,paper2_P018_C000,paper2_P034_C000
openai,Q017,paper2_P033_C001|paper2_P034_C000|paper2_P035_C002,1.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1.0,0.16147799999453127,paper2_P035_C002,paper2_P038_C001,paper2_P009_C003,paper2_P037_C000,paper2_P008_C001
openai,Q018,paper2_P031_C000|paper2_P031_C001,0.0,0.3333333333333333,0.4,0.0,0.5,1.0,0,1,1,0.5,0.15752519998932257,paper2_P022_C001,paper2_P031_C001,paper2_P005_C001,paper2_P031_C000,paper2_P012_C004
openai,Q019,paper2_P005_C000|paper2_P025_C001|paper2_P025_C002,1.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1.0,0.1458785999857355,paper2_P025_C001,paper2_P027_C001,paper2_P031_C001,paper2_P001_C002,paper2_P032_C002
openai,Q020,paper2_P037_C002,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1,1,1,1.0,0.15266819999669679,paper2_P037_C002,paper2_P037_C003,paper2_P005_C002,paper2_P003_C001,paper2_P003_C002
