model,question_id,question,reference_answer,generated_answer,rouge1,rouge2,rougeL,retrieval_time,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_4,retrieved_rank_5
sentence_transformer,Q011,How did the BERT-based rerankers perform relative to previous state-of-the-art methods?,"Despite training on only a fraction of the available data, the proposed BERT-based rerankers surpassed previous state-of-the-art models by a large margin on both evaluated tasks.","BERT-based rerankers improved the relevance scoring by using BERT representations and MLP on top of BERT’s [CLS] token. For example, duoBERT fine-tuned BERT to compare document pairs for relevance, achieving about a 1% MRR@10 advantage on MS MARCO compared to single-document BERT. However, these improvements came with increased computational costs of at least 1.4×.

ColBERT, a BERT-based model, was shown to be two orders-of-magnitude faster than existing BERT-based rerankers while only minimally impacting reranking quality and outperforming every non-BERT baseline.

Overall, BERT-based rerankers provided quality improvements relative to previous state-of-the-art methods though often with higher computational expense, except for optimized approaches like ColBERT, which maintained quality while substantially improving speed.",0.21935483870967742,0.07843137254901962,0.14193548387096774,0.02266400004737079,ColBERT_Late_Interaction_Retrieval_P003_C004,ColBERT_Late_Interaction_Retrieval_P009_C008,E5_Text_Embeddings_Microsoft_P007_C000,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P009_C004,ColBERT_Late_Interaction_Retrieval_P006_C007
sentence_transformer,Q012,On which two retrieval tasks did the BERT passage reranker achieve state-of-the-art results?,The BERT passage reranker achieved state-of-the-art results on TREC-CAR and MS MARCO.,The BERT passage reranker achieved state-of-the-art results on the TREC-CAR and MS MARCO retrieval tasks.,0.9142857142857143,0.8484848484848485,0.9142857142857143,0.015212400001473725,ColBERT_Late_Interaction_Retrieval_P003_C004,BERT_Passage_Reranking_P004_C000,Benchmarking_RAG_Retrieval_Strategies_BM25_Corrective_RAG_P009_C004,BERT_Passage_Reranking_P001_C003,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C000
sentence_transformer,Q013,What two elements are described as critical for training general-purpose text embeddings?,The paper identifies a suitable backbone encoder and an effective training recipe as two critical elements for training general-purpose text embeddings.,The two critical elements for training general-purpose text embeddings are a well-suited backbone encoder and an appropriate training recipe.,0.7906976744186046,0.5853658536585366,0.46511627906976744,0.017062900005839765,BGE_Embedding_Framework_P002_C000,BGE_Embedding_Framework_P002_C001,BGE_Embedding_Framework_P001_C006,BGE_Embedding_Framework_P001_C005,GTE_Embedding_Model_P001_C004
sentence_transformer,Q014,What effect did increasing batch size have on BGE embedding quality?,"Increasing the batch size produced consistent improvements in embedding quality, with the most notable gains appearing in retrieval performance.","Increasing the batch size in BGE training led to consistent improvements in embedding quality, with the most notable enhancement observed in retrieval performance. As the batch size expanded from 256 to 19,200, embedding quality improved steadily, likely because retrieval tasks require highly discriminative embeddings over large databases.",0.4776119402985075,0.4,0.4776119402985075,0.01807400002144277,BGE_Embedding_Framework_P007_C004,BGE_Embedding_Framework_P007_C003,BGE_Embedding_Framework_P005_C007,BGE_Embedding_Framework_P007_C007,E5_Text_Embeddings_Microsoft_P008_C000
sentence_transformer,Q015,What resource does the BGE paper introduce for general Chinese embeddings?,"The paper introduces C-Pack, a packed resource for developing and evaluating general Chinese text embeddings.","The BGE paper introduces C-Pack as the resource for general Chinese embeddings, which includes the benchmark C-MTEB, the training data C-MTP, and the model class BGE.",0.4888888888888889,0.23255813953488372,0.4444444444444445,0.01516429998446256,BGE_Embedding_Framework_P004_C000,BGE_Embedding_Framework_P003_C006,BGE_Embedding_Framework_P002_C010,BGE_Embedding_Framework_P002_C003,BGE_Embedding_Framework_P002_C009
sentence_transformer,Q016,What trade-off is ColBERT designed to improve compared with more expensive neural ranking models?,ColBERT is designed to provide strong retrieval effectiveness while greatly reducing query latency compared with expensive deep language-model rerankers.,"ColBERT is designed to improve the trade-off between retrieval quality and computational cost. It achieves highly competitive ranking effectiveness compared to more expensive models like BERTbase and BERTlarge while being orders of magnitude cheaper in terms of latency and FLOPs (over 170× faster in latency and 13,900× fewer FLOPs). This allows ColBERT to offer strong ranking quality at a significantly reduced computational cost.",0.30588235294117644,0.07228915662650602,0.21176470588235297,0.019065900007262826,ColBERT_Late_Interaction_Retrieval_P007_C004,ColBERT_Late_Interaction_Retrieval_P006_C001,ColBERT_Late_Interaction_Retrieval_P007_C005,ColBERT_Late_Interaction_Retrieval_P008_C001,ColBERT_Late_Interaction_Retrieval_P009_C001
sentence_transformer,Q017,Why does ColBERT project token representations to a lower embedding dimension?,ColBERT projects representations to a smaller dimension to control the storage footprint of document embeddings while retaining efficient query encoding.,"ColBERT projects token representations to a lower embedding dimension to control the space footprint of documents, which is crucial for efficiency. This step also significantly impacts query execution time, particularly the time taken for transferring the document representations from system memory (CPU) to the GPU, where they are processed.",0.43478260869565216,0.23880597014925375,0.40579710144927533,0.016730800038203597,ColBERT_Late_Interaction_Retrieval_P004_C005,ColBERT_Late_Interaction_Retrieval_P004_C006,Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P005_C002,ColBERT_Late_Interaction_Retrieval_P006_C005,ColBERT_Late_Interaction_Retrieval_P006_C006
sentence_transformer,Q018,What MRR@10 result is reported for BM25 plus ColBERT on TREC CAR?,The reported MRR@10 for BM25 plus ColBERT on TREC CAR is 44.2.,The MRR@10 result reported for BM25 plus ColBERT on TREC CAR is 44.2.,0.9655172413793104,0.7407407407407408,0.896551724137931,0.019885599962435663,ColBERT_Late_Interaction_Retrieval_P008_C003,BERT_Passage_Reranking_P003_C000,ColBERT_Late_Interaction_Retrieval_P008_C000,BERT_Passage_Reranking_P003_C001,HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P005_C000
sentence_transformer,Q019,Why had dense retrieval historically struggled to outperform BM25 for open-domain question answering?,"Dense retrieval was generally believed to require many labeled question-context pairs to learn effective dense representations, which limited its ability to outperform sparse methods such as BM25.","Dense retrieval historically struggled to outperform BM25 for open-domain question answering because it generally requires a large number of labeled pairs of questions and contexts to learn good dense vector representations. Prior to advances like ORQA, dense retrieval methods had not demonstrated better performance than TF-IDF/BM25 due to this need for extensive labeled data and effective pretraining objectives.",0.40449438202247195,0.06896551724137932,0.3146067415730337,0.017030599992722273,DPR_for_question_answering_P002_C002,DPR_for_question_answering_P009_C005,DPR_for_question_answering_P001_C005,DPR_for_question_answering_P001_C000,Massive Text Embedding Benchmark_P006_C006
sentence_transformer,Q020,How many training examples were sufficient for DPR to outperform BM25 in the sample-efficiency experiment?,"A dense passage retriever trained with only 1,000 examples already outperformed BM25 on the Natural Questions development set.","In the sample-efficiency experiment, training DPR using 1,000 examples was already sufficient to outperform BM25.",0.4444444444444444,0.17647058823529413,0.3888888888888889,0.013135600020177662,DPR_for_question_answering_P005_C005,DPR_for_question_answering_P005_C004,DPR_for_question_answering_P006_C006,BERT_Passage_Reranking_P002_C002,DPR_Internal_Knowledge_and_Retrieval_Analysis_P006_C003
sentence_transformer,Q021,What does the DPR study conclude about dense retrieval in open-domain question answering?,The study concludes that dense retrieval can outperform and potentially replace traditional sparse retrieval components in open-domain question answering.,"The DPR study concludes that dense retrieval can outperform and potentially replace the traditional sparse retrieval component in open-domain question answering. It shows that a simple dual-encoder approach can work surprisingly well with certain critical training ingredients, while more complex models or similarity functions do not necessarily add value. The improved retrieval performance from dense retrieval leads to new state-of-the-art results on multiple open-domain QA benchmarks.",0.4347826086956522,0.37777777777777777,0.4347826086956522,0.013548200018703938,DPR_for_question_answering_P009_C005,DPR_for_question_answering_P011_C005,DPR_for_question_answering_P001_C000,Lost_in_the_Middle_Long_Context_RAG_P003_C000,DPR_for_question_answering_P009_C004
sentence_transformer,Q022,What two training properties are described as characteristic of DPR-style retrieval models?,DPR-style retrieval combines separate encoders for queries and the knowledge base with contrastive training.,"The two training properties characteristic of DPR-style retrieval models are:

1. Modifying the model’s method of knowledge access without altering the stored knowledge itself.
2. Allowing the use of multiple, somewhat less precise keys to access knowledge, enabling morphologically distinct but semantically related text to trigger the same knowledge or collections of facts.",0.17142857142857143,0.058823529411764705,0.14285714285714288,0.019685800070874393,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C007,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C006,DPR_Internal_Knowledge_and_Retrieval_Analysis_P005_C001,DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C000,DPR_Internal_Knowledge_and_Retrieval_Analysis_P006_C006
sentence_transformer,Q023,What limitation of current DPR models is identified when retrieval requires navigating previously unknown concepts?,The analysis argues that current DPR models fall short when retrieval requires navigating and explaining concepts that were previously unknown or unseen by the model.,The current DPR models fall short when retrieval requires navigating and elucidating concepts previously unknown or unencountered by the model. They are limited to recalling or recognizing knowledge already familiar or encoded within their parameters and do not effectively operate in situations involving uncertain or novel information.,0.4999999999999999,0.3714285714285714,0.4999999999999999,0.015480600064620376,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C007,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C006,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C005,DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C000,DPR_Internal_Knowledge_and_Retrieval_Analysis_P005_C001
sentence_transformer,Q024,Why are common DPR enhancements not expected to fundamentally change the paper’s analysis?,"Enhancements such as better hard negatives, data augmentation, new backbones, or multiple vectors improve DPR performance but still build on the same underlying DPR mechanisms, so they are not expected to fundamentally change the analysis.","Common DPR enhancements—such as improving hard negatives, using different data augmentation techniques, different transformer-based backbones, or leveraging multiple views/vectors from models—are not expected to fundamentally change the paper’s analysis because they build upon and amplify the core mechanisms of the original DPR method, rather than alter its fundamental training formula or approach.",0.5652173913043478,0.2444444444444444,0.4130434782608695,0.015090700006112456,DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C003,DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C002,DPR_Internal_Knowledge_and_Retrieval_Analysis_P006_C002,DPR_Internal_Knowledge_and_Retrieval_Analysis_P007_C005,DPR_Internal_Knowledge_and_Retrieval_Analysis_P006_C001
sentence_transformer,Q025,How does E5 perform on BEIR in the zero-shot setting?,E5 is reported as the first model to outperform the strong BM25 baseline on BEIR in a zero-shot setting without using labeled data.,E5-PTbase outperforms the classic BM25 algorithm by 1.2 points on the BEIR benchmark in the zero-shot setting. Scaling up to E5-PTlarge further improves performance from 42.9 to 44.2. This is noted as the first reported result where an unsupervised model beats BM25 on BEIR.,0.45945945945945954,0.16666666666666666,0.2702702702702703,0.016592599917203188,E5_Text_Embeddings_Microsoft_P015_C003,NV-Embed_LLM_Embedding_Model_P008_C005,NV-Embed_LLM_Embedding_Model_P003_C007,E5_Text_Embeddings_Microsoft_P005_C005,HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P009_C005
sentence_transformer,Q026,Why does the E5 paper argue that BM25 should not yet be completely replaced by dense retrieval?,"The paper notes that BM25 still offers important advantages in simplicity, efficiency, and interpretability, even as dense retrieval improves.","The E5 paper argues that BM25 should not yet be completely replaced by dense retrieval because dense retrieval models suffer from issues with out-of-distribution data, performing significantly worse than BM25 on many datasets with large domain shifts or task shifts compared to their training data.",0.1818181818181818,0.0625,0.1818181818181818,0.015827100025489926,Massive Text Embedding Benchmark_P007_C003,BERT_Passage_Reranking_P002_C002,Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P008_C004,ColBERT_Late_Interaction_Retrieval_P008_C008,E5_Text_Embeddings_Microsoft_P005_C005
sentence_transformer,Q027,What maximum text length is used for E5 evaluation on datasets with long texts?,The implementation uses a maximum text length of 512 for evaluation and freezes position embeddings during pre-training and fine-tuning.,"The maximum text length used for E5 evaluation on datasets with long texts is 5,000 tokens.",0.36842105263157887,0.11111111111111112,0.31578947368421056,0.01581500004976988,Lost_in_the_Middle_Long_Context_RAG_P008_C000,survey_of_RAG_P018_C013,GTE_Embedding_Model_P009_C003,Massive Text Embedding Benchmark_P022_C003,Lost_in_the_Middle_Long_Context_RAG_P006_C005
sentence_transformer,Q028,On which kinds of datasets can BM25 outperform commercial embedding APIs according to the embedding API comparison?,"BM25 can outperform full embedding APIs on datasets collected through lexical matching, including BioASQ and Signal1M.","BM25 can outperform commercial embedding APIs on heterogeneous retrieval datasets across multiple domains, as shown in the BEIR benchmark which consists of 18 retrieval datasets spanning 9 different domains.",0.3111111111111111,0.18604651162790697,0.3111111111111111,0.019031899981200695,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P001_C006,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P001_C004,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P004_C004,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C003,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P004_C005
sentence_transformer,Q029,Which two real-world information-retrieval scenarios are used to evaluate embedding APIs?,The embedding APIs are evaluated on domain generalization and multilingual retrieval.,The document context does not provide specific details about the two real-world information-retrieval scenarios used to evaluate embedding APIs.,0.31249999999999994,0.06666666666666667,0.18749999999999997,0.01651710004080087,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C004,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P001_C004,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P007_C001,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P001_C000,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C003
sentence_transformer,Q030,What additional concern does the embedding API study identify for safe real-world deployment?,The study argues that retrieval systems should be evaluated for fairness and potential biases because large language models can reproduce societal biases and harmful stereotypes from training data.,"The study identifies the evaluation of fairness and potential biases in embedding APIs as an additional concern for safe real-world deployment. It highlights that language models can learn and perpetuate societal biases and harmful stereotypes from their training data, making it crucial to assess these biases with respect to protected and marginalized groups.",0.4878048780487805,0.3,0.43902439024390244,0.018066100077703595,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C003,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C005,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P003_C004,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P007_C001,Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P007_C002
sentence_transformer,Q031,What does the embedding-model similarity study find about retrieval overlap at low top-k values?,"The study finds that top-k retrieval similarity has high variance at low k values, even among models that may belong to similar families.","The embedding-model similarity study finds that at low top-k values, which are most relevant in practice for RAG systems, the retrieval overlap is low. This is indicated by low Jaccard similarity scores, showing little overlap in retrieved text chunks even when CKA similarity scores are high. The study also observes high variance and multi-modality in retrieval similarity scores at low k across different embedding models and datasets.",0.36170212765957444,0.1956521739130435,0.2978723404255319,0.02597529999911785,Embedding Model Similarity in RAG_P006_C011,Embedding Model Similarity in RAG_P006_C012,Embedding Model Similarity in RAG_P007_C011,Embedding Model Similarity in RAG_P004_C005,Embedding Model Similarity in RAG_P001_C006
sentence_transformer,Q032,How does dataset size affect Jaccard similarity between embedding models in the study?,"The study reports that Jaccard similarity is generally higher for smaller datasets, although the pattern varies by dataset.","Dataset size negatively affects Jaccard similarity between embedding models in the study. Larger datasets, such as TREC-COVID and FiQA-2018, exhibit notably lower Jaccard similarity scores at top-10 retrieval (e.g., as low as 0.18 on TREC-COVID), indicating less overlap in retrieved text chunks compared to smaller datasets, where the highest Jaccard similarities reach about 0.6. This trend shows that retrieval similarity decreases on larger datasets.",0.20224719101123592,0.06896551724137932,0.17977528089887643,0.02109189995098859,Embedding Model Similarity in RAG_P006_C011,Embedding Model Similarity in RAG_P005_C007,Embedding Model Similarity in RAG_P007_C010,Embedding Model Similarity in RAG_P006_C012,Embedding Model Similarity in RAG_P005_C002
sentence_transformer,Q033,Why does the study say choosing an alternative to a proprietary embedding model remains difficult?,"Even when an open-source model is most similar to a proprietary model overall, the top-10 retrieved chunks can still have low overlap, so identifying a true substitute remains non-trivial.","Choosing an alternative to a proprietary embedding model remains difficult because the available information to guide this choice is primarily limited to architectural details, which are sometimes scarce due to the prevalence of closed proprietary models, and performance benchmarks like the Massive Text Embedding Benchmark (MTEB).",0.23076923076923078,0.07894736842105263,0.1794871794871795,0.041430699988268316,Embedding Model Similarity in RAG_P001_C004,Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P010_C004,Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P003_C003,Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P002_C003,NV-Embed_LLM_Embedding_Model_P003_C003
sentence_transformer,Q034,What three dimensions does ARES use to evaluate RAG systems?,"ARES evaluates RAG systems along context relevance, answer faithfulness, and answer relevance.",The supplied document context does not provide information about the three dimensions that ARES uses to evaluate RAG systems.,0.3225806451612903,0.13793103448275862,0.2580645161290323,0.038434899994172156,Embedding Similarity in RAG_P002_C007,RAG Failure Points and Challenges_P002_C000,survey_of_RAG_P001_C008,survey_of_RAG_P014_C001,survey_of_RAG_P002_C001
sentence_transformer,Q035,Which benchmark is used to test whether ARES can assess answer faithfulness in real RAG systems?,"ARES is tested on the AIS attribution benchmark, including the Wizard of Wikipedia and CNN/DailyMail datasets.",ARES is tested for assessing answer faithfulness in real RAG systems using the AIS (Answer Inference and Scoring) dataset.,0.3888888888888889,0.17647058823529413,0.3888888888888889,0.033723299973644316,Embedding Similarity in RAG_P005_C006,Embedding Similarity in RAG_P002_C007,survey_of_RAG_P012_C003,Embedding Similarity in RAG_P002_C000,Embedding Similarity in RAG_P007_C005
sentence_transformer,Q036,What evidence does ARES provide about generalizing its evaluation judges to extraction tasks?,"The study reports that an LLM judge fine-tuned on Natural Questions achieved a Kendall’s tau of 0.38 on T-REx for both context relevance and answer relevance, providing evidence of transfer to an extraction task.",The provided document context does not contain information or evidence specifically about ARES generalizing its evaluation judges to extraction tasks.,0.27586206896551724,0.03571428571428572,0.20689655172413793,0.05842209991533309,Embedding Similarity in RAG_P006_C006,Embedding Similarity in RAG_P007_C002,Embedding Similarity in RAG_P016_C001,Embedding Similarity in RAG_P006_C002,Embedding Similarity in RAG_P002_C000
sentence_transformer,Q037,What learning approach is introduced for histopathological image classification?,The paper introduces a transductive few-shot learning approach for histopathological image classification.,The document introduces an innovative transductive few-shot learning approach for histopathological image classification.,0.8148148148148148,0.64,0.8148148148148148,0.02050400001462549,FewShot_Histopathology_P001_C000,FewShot_Histopathology_P004_C005,FewShot_Histopathology_P001_C001,FewShot_Histopathology_P001_C006,FewShot_Histopathology_P004_C004
sentence_transformer,Q038,Which two inductive few-shot baselines are used in the annotated test-data evaluation?,The proposed method is benchmarked against SimpleShot and Baseline as inductive few-shot comparison methods.,The two inductive few-shot baselines used in the annotated test-data evaluation are SimpleShot and Baseline.,0.43749999999999994,0.26666666666666666,0.25,0.03599700005725026,FewShot_Histopathology_P004_C000,NV-Embed_LLM_Embedding_Model_P003_C007,Embedding Similarity in RAG_P003_C004,FewShot_Histopathology_P002_C005,survey_of_RAG_P017_C006
sentence_transformer,Q039,What advantage does the five-class few-shot model show over the three-class model?,The five-class model provides more detailed and reliable detection of tissue architectures and can distinguish patterns that the three-class model cannot.,"The five-class few-shot model shows several advantages over the three-class model: it enables detailed detection of histopathological architectures that the three-class model cannot achieve; it accurately distinguishes the VE architecture within pejorative regions with 100% certainty; it detects hemorrhagic regions that the fully supervised model misclassifies; and it exhibits remarkable proficiency in defining homogeneous regions across the entire whole slide images (WSIs). Additionally, the five-class model benefits from contextual understanding by considering interdependencies between neighboring patches, leading to a more cohesive interpretation of the data, unlike the three-class model which analyzes individual patches independently.",0.2764227642276423,0.1487603305785124,0.22764227642276424,0.027715899981558323,FewShot_Histopathology_P004_C003,FewShot_Histopathology_P004_C004,FewShot_Histopathology_P004_C001,E5_Text_Embeddings_Microsoft_P009_C004,HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P009_C006
