question_id	question	relevant_chunk_ids	reference_answer	source	page
Q011	How did the BERT-based rerankers perform relative to previous state-of-the-art methods?	BERT_Passage_Reranking_P003_C002	Despite training on only a fraction of the available data, the proposed BERT-based rerankers surpassed previous state-of-the-art models by a large margin on both evaluated tasks.	BERT_Passage_Reranking.pdf	3
Q012	On which two retrieval tasks did the BERT passage reranker achieve state-of-the-art results?	BERT_Passage_Reranking_P004_C000	The BERT passage reranker achieved state-of-the-art results on TREC-CAR and MS MARCO.	BERT_Passage_Reranking.pdf	4
Q013	What two elements are described as critical for training general-purpose text embeddings?	BGE_Embedding_Framework_P002_C001	The paper identifies a suitable backbone encoder and an effective training recipe as two critical elements for training general-purpose text embeddings.	BGE_Embedding_Framework.pdf	2
Q014	What effect did increasing batch size have on BGE embedding quality?	BGE_Embedding_Framework_P007_C007	Increasing the batch size produced consistent improvements in embedding quality, with the most notable gains appearing in retrieval performance.	BGE_Embedding_Framework.pdf	7
Q015	What resource does the BGE paper introduce for general Chinese embeddings?	BGE_Embedding_Framework_P001_C000	The paper introduces C-Pack, a packed resource for developing and evaluating general Chinese text embeddings.	BGE_Embedding_Framework.pdf	1
Q016	What trade-off is ColBERT designed to improve compared with more expensive neural ranking models?	ColBERT_Late_Interaction_Retrieval_P001_C005	ColBERT is designed to provide strong retrieval effectiveness while greatly reducing query latency compared with expensive deep language-model rerankers.	ColBERT_Late_Interaction_Retrieval.pdf	1
Q017	Why does ColBERT project token representations to a lower embedding dimension?	ColBERT_Late_Interaction_Retrieval_P004_C006	ColBERT projects representations to a smaller dimension to control the storage footprint of document embeddings while retaining efficient query encoding.	ColBERT_Late_Interaction_Retrieval.pdf	4
Q018	What MRR@10 result is reported for BM25 plus ColBERT on TREC CAR?	ColBERT_Late_Interaction_Retrieval_P008_C003	The reported MRR@10 for BM25 plus ColBERT on TREC CAR is 44.2.	ColBERT_Late_Interaction_Retrieval.pdf	8
Q019	Why had dense retrieval historically struggled to outperform BM25 for open-domain question answering?	DPR_for_question_answering_P001_C005	Dense retrieval was generally believed to require many labeled question-context pairs to learn effective dense representations, which limited its ability to outperform sparse methods such as BM25.	DPR_for_question_answering.pdf	1
Q020	How many training examples were sufficient for DPR to outperform BM25 in the sample-efficiency experiment?	DPR_for_question_answering_P006_C000	A dense passage retriever trained with only 1,000 examples already outperformed BM25 on the Natural Questions development set.	DPR_for_question_answering.pdf	6
Q021	What does the DPR study conclude about dense retrieval in open-domain question answering?	DPR_for_question_answering_P009_C005	The study concludes that dense retrieval can outperform and potentially replace traditional sparse retrieval components in open-domain question answering.	DPR_for_question_answering.pdf	9
Q022	What two training properties are described as characteristic of DPR-style retrieval models?	DPR_Internal_Knowledge_and_Retrieval_Analysis_P002_C002	DPR-style retrieval combines separate encoders for queries and the knowledge base with contrastive training.	DPR_Internal_Knowledge_and_Retrieval_Analysis.pdf	2
Q023	What limitation of current DPR models is identified when retrieval requires navigating previously unknown concepts?	DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C000	The analysis argues that current DPR models fall short when retrieval requires navigating and explaining concepts that were previously unknown or unseen by the model.	DPR_Internal_Knowledge_and_Retrieval_Analysis.pdf	8
Q024	Why are common DPR enhancements not expected to fundamentally change the paper’s analysis?	DPR_Internal_Knowledge_and_Retrieval_Analysis_P008_C003	Enhancements such as better hard negatives, data augmentation, new backbones, or multiple vectors improve DPR performance but still build on the same underlying DPR mechanisms, so they are not expected to fundamentally change the analysis.	DPR_Internal_Knowledge_and_Retrieval_Analysis.pdf	8
Q025	How does E5 perform on BEIR in the zero-shot setting?	E5_Text_Embeddings_Microsoft_P001_C001	E5 is reported as the first model to outperform the strong BM25 baseline on BEIR in a zero-shot setting without using labeled data.	E5_Text_Embeddings_Microsoft.pdf	1
Q026	Why does the E5 paper argue that BM25 should not yet be completely replaced by dense retrieval?	E5_Text_Embeddings_Microsoft_P008_C004	The paper notes that BM25 still offers important advantages in simplicity, efficiency, and interpretability, even as dense retrieval improves.	E5_Text_Embeddings_Microsoft.pdf	8
Q027	What maximum text length is used for E5 evaluation on datasets with long texts?	E5_Text_Embeddings_Microsoft_P015_C002	The implementation uses a maximum text length of 512 for evaluation and freezes position embeddings during pre-training and fine-tuning.	E5_Text_Embeddings_Microsoft.pdf	15
Q028	On which kinds of datasets can BM25 outperform commercial embedding APIs according to the embedding API comparison?	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P002_C000	BM25 can outperform full embedding APIs on datasets collected through lexical matching, including BioASQ and Signal1M.	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha.pdf	2
Q029	Which two real-world information-retrieval scenarios are used to evaluate embedding APIs?	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P004_C004	The embedding APIs are evaluated on domain generalization and multilingual retrieval.	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha.pdf	4
Q030	What additional concern does the embedding API study identify for safe real-world deployment?	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha_P007_C002	The study argues that retrieval systems should be evaluated for fairness and potential biases because large language models can reproduce societal biases and harmful stereotypes from training data.	Embedding API Comparison for Information Retrieval - OpenAI vs Cohere vs Aleph-Alpha.pdf	7
Q031	What does the embedding-model similarity study find about retrieval overlap at low top-k values?	Embedding Model Similarity in RAG_P001_C002	The study finds that top-k retrieval similarity has high variance at low k values, even among models that may belong to similar families.	Embedding Model Similarity in RAG.pdf	1
Q032	How does dataset size affect Jaccard similarity between embedding models in the study?	Embedding Model Similarity in RAG_P006_C008	The study reports that Jaccard similarity is generally higher for smaller datasets, although the pattern varies by dataset.	Embedding Model Similarity in RAG.pdf	6
Q033	Why does the study say choosing an alternative to a proprietary embedding model remains difficult?	Embedding Model Similarity in RAG_P007_C010	Even when an open-source model is most similar to a proprietary model overall, the top-10 retrieved chunks can still have low overlap, so identifying a true substitute remains non-trivial.	Embedding Model Similarity in RAG.pdf	7
Q034	What three dimensions does ARES use to evaluate RAG systems?	Embedding Similarity in RAG_P001_C000	ARES evaluates RAG systems along context relevance, answer faithfulness, and answer relevance.	Embedding Similarity in RAG.pdf	1
Q035	Which benchmark is used to test whether ARES can assess answer faithfulness in real RAG systems?	Embedding Similarity in RAG_P007_C004	ARES is tested on the AIS attribution benchmark, including the Wizard of Wikipedia and CNN/DailyMail datasets.	Embedding Similarity in RAG.pdf	7
Q036	What evidence does ARES provide about generalizing its evaluation judges to extraction tasks?	Embedding Similarity in RAG_P008_C005	The study reports that an LLM judge fine-tuned on Natural Questions achieved a Kendall’s tau of 0.38 on T-REx for both context relevance and answer relevance, providing evidence of transfer to an extraction task.	Embedding Similarity in RAG.pdf	8
Q037	What learning approach is introduced for histopathological image classification?	FewShot_Histopathology_P001_C006	The paper introduces a transductive few-shot learning approach for histopathological image classification.	FewShot_Histopathology.pdf	1
Q038	Which two inductive few-shot baselines are used in the annotated test-data evaluation?	FewShot_Histopathology_P004_C000	The proposed method is benchmarked against SimpleShot and Baseline as inductive few-shot comparison methods.	FewShot_Histopathology.pdf	4
Q039	What advantage does the five-class few-shot model show over the three-class model?	FewShot_Histopathology_P004_C003	The five-class model provides more detailed and reliable detection of tissue architectures and can distinguish patterns that the three-class model cannot.	FewShot_Histopathology.pdf	4
Q040	What is GlobalQA designed to evaluate?	GlobalRAG_Benchmark_P001_C001	GlobalQA is designed to evaluate global RAG capabilities that require aggregating information across entire document collections, including counting, extremum, sorting, and top-k tasks.	GlobalRAG_Benchmark.pdf	1
Q041	What three technical directions are represented by the baseline methods in the GlobalRAG benchmark?	GlobalRAG_Benchmark_P007_C001	The baseline methods cover single-shot retrieval, iterative retrieval, and graph-structured retrieval.	GlobalRAG_Benchmark.pdf	7
Q042	How does increasing retriever size affect GlobalRAG performance?	GlobalRAG_Benchmark_P010_C001	Larger retrievers provide higher-quality information and improve global RAG accuracy, showing that the framework can benefit as retrieval quality scales.	GlobalRAG_Benchmark.pdf	10
Q043	What is SCIDOCS and what kinds of tasks does it contain?	GlobalRAG_GlobalQA_P001_C002	SCIDOCS is an evaluation benchmark with seven document-level tasks, including citation prediction, document classification, and recommendation.	GlobalRAG_GlobalQA.pdf	1
Q044	What co-citation performance does SPECTER achieve in the reported experiment?	GlobalRAG_GlobalQA_P006_C004	SPECTER achieves an nDCG of 94.8 on the co-citation task, improving over SGC by 2.3 points.	GlobalRAG_GlobalQA.pdf	6
Q045	How is SPECTER trained to learn representations of scientific papers?	GlobalRAG_GlobalQA_P009_C003	SPECTER is based on a Transformer language model that is pretrained using citation information to learn scientific-paper representations.	GlobalRAG_GlobalQA.pdf	9
Q046	How does GTE-base compare with larger embedding models despite having about 110 million parameters?	GTE_Embedding_Model_P001_C001	GTE-base is reported to outperform the OpenAI black-box embedding API and even text embedding models with roughly ten times more parameters.	GTE_Embedding_Model.pdf	1
Q047	What benchmark is used to test GTE on heterogeneous information-retrieval tasks?	GTE_Embedding_Model_P006_C004	The study evaluates GTE on BEIR, using 15 publicly available datasets covering different retrieval formats and domains.	GTE_Embedding_Model.pdf	6
Q048	What future extensions are proposed for GTE?	GTE_Embedding_Model_P011_C004	Future work includes supporting longer contexts and extending GTE to multilingual and multimodal settings.	GTE_Embedding_Model.pdf	11
Q049	What is the central idea behind Hypothetical Document Embeddings (HyDE)?	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P001_C000	HyDE generates a hypothetical document for a query and uses its embedding as an intermediate representation for zero-shot dense retrieval.	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022.pdf	1
Q050	How does HyDE compare with BM25 on zero-shot retrieval tasks?	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P005_C002	HyDE outperforms BM25 by large margins and remains competitive with some fine-tuned dense retrieval models.	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022.pdf	5
Q051	How does HyDE represent the notion of relevance differently from standard dense retrievers?	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022_P007_C000	HyDE captures relevance through a natural-language generation model and the language generation process rather than relying only on vector similarity learned from relevance labels.	HyDE_Zero_Shot_Dense_Retrieval_Gao_et_al_2022.pdf	7
Q052	What positional weakness do some long-context language models show in key-value retrieval?	Lost_in_the_Middle_Long_Context_RAG_P002_C005	Some models struggle to retrieve relevant information when it appears in the middle of a long context, producing a U-shaped performance pattern.	Lost_in_the_Middle_Long_Context_RAG.pdf	2
Q053	What effect does query-aware contextualization have on key-value retrieval performance?	Lost_in_the_Middle_Long_Context_RAG_P008_C003	Placing the query before and after the data dramatically improves performance, with models reaching near-perfect accuracy on several key-value settings.	Lost_in_the_Middle_Long_Context_RAG.pdf	8
Q054	Does making relevant documents easier to identify completely solve long-context reasoning problems?	Lost_in_the_Middle_Long_Context_RAG_P014_C004	No. Even when relevant documents are easier to identify, models still struggle to reason over the full input context, so the degradation is not caused only by document identification difficulty.	Lost_in_the_Middle_Long_Context_RAG.pdf	14
Q055	What is BEIR designed to measure?	Massive Text Embedding Benchmark_P002_C002	BEIR is a heterogeneous benchmark containing 18 retrieval datasets designed to evaluate how well information-retrieval models generalize across tasks and domains.	Massive Text Embedding Benchmark.pdf	2
Q056	What range of retrieval tasks and datasets does BEIR cover according to its conclusion?	Massive Text Embedding Benchmark_P009_C004	BEIR covers nine retrieval tasks spanning 18 diverse datasets, from specialized expert domains to open-domain retrieval.	Massive Text Embedding Benchmark.pdf	9
Q057	What multilingual limitation does the BEIR benchmark acknowledge?	Massive Text Embedding Benchmark_P017_C001	BEIR acknowledges that its datasets are English-only because of the limited availability of multilingual retrieval datasets.	Massive Text Embedding Benchmark.pdf	17
Q058	What architectural change does NV-Embed use to improve pooled embeddings from decoder-only LLMs?	NV-Embed_LLM_Embedding_Model_P001_C001	NV-Embed introduces a latent attention layer for pooling and removes the causal attention mask during contrastive training to improve embedding quality.	NV-Embed_LLM_Embedding_Model.pdf	1
Q059	How did adding more public retrieval data affect NV-Embed performance?	NV-Embed_LLM_Embedding_Model_P010_C005	Adding additional public retrieval datasets increased the retrieval score by about 0.7 points, while synthetic data provided a smaller additional gain.	NV-Embed_LLM_Embedding_Model.pdf	10
Q060	Why does the NV-Embed paper caution against assuming that better MTEB scores always imply better retrieval elsewhere?	NV-Embed_LLM_Embedding_Model_P018_C002	The paper notes that models with stronger MTEB scores do not always perform better on AIR-Bench, showing that benchmark improvements may not transfer uniformly.	NV-Embed_LLM_Embedding_Model.pdf	18
Q061	What is the focus of the RAG failure-points study?	RAG Failure Points and Challenges_P002_C003	The study focuses on practical challenges encountered when implementing RAG systems, extending beyond code-related software-engineering use cases.	RAG Failure Points and Challenges.pdf	2
Q062	What practical changes are reported to improve retrieval or operation in the RAG case studies?	RAG Failure Points and Challenges_P005_C001	The study reports that adding metadata such as filenames and chunk numbers can improve retrieval, open-source embedding models can perform well on small text, and RAG systems require continuous calibration and monitoring.	RAG Failure Points and Challenges.pdf	5
Q063	What general conclusion does the study draw about engineering RAG systems?	RAG Failure Points and Challenges_P005_C006	The study concludes that RAG systems combine information retrieval with LLMs and introduce new engineering challenges around semantic search, generation, monitoring, and adaptation.	RAG Failure Points and Challenges.pdf	5
Q064	What benefit does the original RAG study report from combining parametric and non-parametric memory?	RAG_for_factual_answers_P002_C004	Combining parametric and non-parametric memory with generation improves knowledge-intensive NLP tasks and achieves state-of-the-art results on several open-domain question-answering benchmarks.	RAG_for_factual_answers.pdf	2
Q065	How does learned dense retrieval compare with BM25 in the RAG ablation study?	RAG_for_factual_answers_P007_C005	Learned retrieval improves results on all tasks except FEVER, where BM25 performs best because the claims are strongly entity-oriented and suited to lexical overlap.	RAG_for_factual_answers.pdf	7
Q066	How many retrieved documents are used for RAG-Token and RAG-Sequence in open-domain QA evaluation?	RAG_for_factual_answers_P017_C000	The implementation uses 15 retrieved documents for RAG-Token and 50 retrieved documents for RAG-Sequence in open-domain question answering.	RAG_for_factual_answers.pdf	17
Q067	How large is the citation-linked paper graph described for S2ORC?	S2ORC_ScientificCorpus_P002_C002	S2ORC links citations to a graph containing 81.1 million paper nodes derived from Semantic Scholar.	S2ORC_ScientificCorpus.pdf	2
Q068	How are paper embeddings learned from citation contexts in the S2ORC analysis?	S2ORC_ScientificCorpus_P008_C002	The study replaces inline citation spans with linked paper identifiers and trains a word2vec skip-gram model on the resulting citation contexts, producing embeddings for paper identifiers.	S2ORC_ScientificCorpus.pdf	8
Q069	Approximately how many tokens of full body text and abstract text does S2ORC contain?	S2ORC_ScientificCorpus_P014_C004	S2ORC is estimated to contain about 25 billion tokens of full body text and 15 billion tokens of abstract text.	S2ORC_ScientificCorpus.pdf	14
Q070	Why was SciBERT created instead of relying only on general-domain pretrained language models?	SciBERT_ScientificNLP_P001_C003	SciBERT was created to provide a pretrained language model tailored to scientific text, where general-domain models trained on sources such as news and Wikipedia may be less suitable.	SciBERT_ScientificNLP.pdf	1
Q071	How does SciBERT perform on multidomain scientific NLP tasks compared with BERT-Base?	SciBERT_ScientificNLP_P004_C003	SciBERT outperforms BERT-Base on multidomain tasks and achieves new state-of-the-art results on several scientific NLP benchmarks.	SciBERT_ScientificNLP.pdf	4
Q072	What training corpus and vocabulary distinguish SciBERT from standard BERT?	SciBERT_ScientificNLP_P005_C001	SciBERT is trained on the full text of 1.14 million biomedical and computer-science papers and uses an in-domain vocabulary called SCIVOCAB.	SciBERT_ScientificNLP.pdf	5
Q073	Why is standard BERT inefficient for directly producing sentence embeddings for similarity search?	Sentence_BERT_SBERT_P002_C004	Standard BERT does not independently produce sentence embeddings, so sentence representations must be derived indirectly, making semantic similarity comparisons inefficient.	Sentence_BERT_SBERT.pdf	2
Q074	How are sentence pairs compared at prediction time in the SBERT STS experiments?	Sentence_BERT_SBERT_P005_C001	At prediction time, SBERT compares sentence embeddings using cosine similarity.	Sentence_BERT_SBERT.pdf	5
Q075	What architecture does SBERT use to make BERT suitable for efficient sentence similarity tasks?	Sentence_BERT_SBERT_P008_C005	SBERT fine-tunes BERT in a siamese or triplet-network architecture to produce efficient semantically meaningful sentence embeddings.	Sentence_BERT_SBERT.pdf	8
Q076	What does MTEB reveal about whether one embedding method dominates across all tasks?	Seven Failure Points in RAG Systems_P001_C001	MTEB finds that no single text embedding method dominates across all evaluated tasks, suggesting there is no universal best embedding approach.	Seven Failure Points in RAG Systems.pdf	1
Q077	Why does MTEB argue that evaluating embeddings only on STS and classification is insufficient?	Seven Failure Points in RAG Systems_P001_C003	Performance on semantic textual similarity and classification does not necessarily transfer to retrieval, clustering, reranking, or other real-world embedding tasks.	Seven Failure Points in RAG Systems.pdf	1
Q078	Which MTEB task types show the strongest correlations in the reported task-correlation analysis?	Seven Failure Points in RAG Systems_P020_C003	The analysis reports that clustering and reranking show the strongest task-level correlation, while summarization and classification correlate more weakly.	Seven Failure Points in RAG Systems.pdf	20
Q079	What are the main design elements of SPLADE?	SPLADE_Sparse_Retrieval_Model_P001_C007	SPLADE is a sparse lexical expansion model that uses logarithmic activation and sparsity regularization to learn efficient expanded representations.	SPLADE_Sparse_Retrieval_Model.pdf	1
Q080	How does SPLADE perform relative to other sparse and dense retrieval methods?	SPLADE_Sparse_Retrieval_Model_P003_C008	SPLADE substantially outperforms other sparse retrieval approaches and achieves performance competitive with state-of-the-art dense retrieval methods.	SPLADE_Sparse_Retrieval_Model.pdf	3
Q081	Why is SPLADE presented as a competitive first-stage retriever?	SPLADE_Sparse_Retrieval_Model_P004_C006	SPLADE combines learned sparse document expansion with in-batch negatives, logarithmic activation, and FLOPS regularization, allowing it to rival strong dense retrieval systems while retaining sparse retrieval efficiency.	SPLADE_Sparse_Retrieval_Model.pdf	4
Q082	What does the RAG survey aim to organize and review?	survey_of_RAG_P001_C007	The survey systematically reviews the evolution, technical foundations, methods, applications, datasets, benchmarks, and evaluation approaches associated with retrieval-augmented generation.	survey_of_RAG.pdf	1
Q083	What retrieval design issues does the RAG survey identify as important?	survey_of_RAG_P005_C008	The survey highlights retrieval source, retrieval granularity, preprocessing, and embedding-model selection as key design issues in RAG retrieval.	survey_of_RAG.pdf	5
Q084	Why does the RAG survey say there is no one-size-fits-all embedding model?	survey_of_RAG_P009_C004	Different embedding models are suited to different tasks, and hybrid sparse-dense retrieval can exploit complementary relevance signals rather than relying on a single universal model.	survey_of_RAG.pdf	9
Q085	What three techniques are combined in Technical-Embeddings to improve technical question answering?	Technical_Embeddings_RAG_P001_C005	Technical-Embeddings combines synthetic query generation, refined or contextual parsing, and adapter or prompt tuning to improve retrieval for technical question answering.	Technical_Embeddings_RAG.pdf	1
Q086	How is the Technical-Embeddings framework structured to improve semantic retrieval?	Technical_Embeddings_RAG_P002_C006	The framework integrates synthetic query generation, contextual summarization, and prompt tuning as a unified approach for semantic retrieval over technical documentation.	Technical_Embeddings_RAG.pdf	2
Q087	What performance outcome is reported for Technical-Embeddings?	Technical_Embeddings_RAG_P006_C000	Technical-Embeddings outperforms traditional models on the RAG-EDA and Rust-Docs-QA datasets, with higher MAP, MRR, precision, and recall.	Technical_Embeddings_RAG.pdf	6
Q088	What problem does the LIMIT study investigate about embedding-based retrieval?	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P001_C000	The study investigates theoretical and practical limits of using single-vector embeddings for increasingly complex retrieval tasks involving reasoning, instructions, coding, and flexible notions of relevance.	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval.pdf	1
Q089	How does BM25 compare with embedding-based retrieval on the difficult LIMIT task?	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P008_C004	On the LIMIT task, BM25 approaches near-perfect scores while dense embedding models perform much worse, indicating that the difficulty is not simply caused by standard domain shift.	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval.pdf	8
Q090	What does the LIMIT study conclude about alternative sparse, multi-vector, or hybrid retrieval architectures?	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval_P010_C002	The study notes that sparse, multi-vector, and hybrid approaches offer trade-offs, but none provides a clear complete solution to the identified limitations, leaving mitigation to future work.	Weller_et_al_2026_Theoretical_Limitations_Embedding_Retrieval.pdf	10
